timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2024-04-26 12:00:00,64244.03125,64820.01171875,63297.48046875,63503.21875,9690.76953125,2024-04-26 15:59:59.999,620429440.0,325129,4780.94921875,306171200.0
2024-04-26 16:00:00,63503.21875,64162.5,63318.75,63742.05078125,3712.951171875,2024-04-26 19:59:59.999,236885872.0,158244,1988.1265869140625,126825392.0
2024-04-26 20:00:00,63742.0703125,64107.3203125,63689.21875,63770.01171875,1797.2000732421875,2024-04-26 23:59:59.999,114844192.0,101747,944.8478393554688,60377220.0
2024-04-27 00:00:00,63770.0,63923.41015625,62391.23828125,63082.01171875,6657.76904296875,2024-04-27 03:59:59.999,419332640.0,259350,2969.11376953125,186996064.0
2024-04-27 04:00:00,63082.0,63175.0,62808.0,62966.828125,2242.404541015625,2024-04-27 07:59:59.999,141305984.0,114441,1088.9619140625,68618984.0
2024-04-27 08:00:00,62966.83984375,63060.0,62673.37109375,62862.140625,2079.69091796875,2024-04-27 11:59:59.999,130813776.0,111803,937.4037475585938,58956152.0
2024-04-27 12:00:00,62862.12890625,63408.53125,62810.2890625,62951.75,3503.856201171875,2024-04-27 15:59:59.999,221109072.0,152957,1695.1220703125,106971288.0
2024-04-27 16:00:00,62951.75,63650.0,62750.0,63352.109375,4913.8525390625,2024-04-27 19:59:59.999,310528992.0,186413,2466.729736328125,155902256.0
2024-04-27 20:00:00,63352.109375,63555.55859375,63157.98046875,63461.98046875,1535.4873046875,2024-04-27 23:59:59.999,97247240.0,87458,746.6220092773438,47288668.0
2024-04-28 00:00:00,63461.98046875,64370.0,63456.859375,64021.62109375,3385.63671875,2024-04-28 03:59:59.999,216342064.0,141895,1708.3067626953125,109169880.0
2024-04-28 04:00:00,64021.62109375,64060.0,63800.0,63915.5,2305.67431640625,2024-04-28 07:59:59.999,147400368.0,111896,997.6559448242188,63785424.0
2024-04-28 08:00:00,63915.5,63979.26953125,63345.55078125,63484.01171875,2754.130126953125,2024-04-28 11:59:59.999,175309424.0,133033,1146.09033203125,72941336.0
2024-04-28 12:00:00,63484.0,63869.08984375,63415.6015625,63540.0,2421.65966796875,2024-04-28 15:59:59.999,154095488.0,125771,1106.9656982421875,70444920.0
2024-04-28 16:00:00,63540.0,63976.0,63483.1796875,63730.48828125,1787.9892578125,2024-04-28 19:59:59.999,113973440.0,108403,859.6777954101562,54796992.0
2024-04-28 20:00:00,63730.48828125,63745.91015625,62781.0,63118.62109375,4294.10986328125,2024-04-28 23:59:59.999,271329248.0,169654,2122.6416015625,134122720.0
2024-04-29 00:00:00,63118.62109375,63367.05078125,62150.51953125,62279.671875,4182.37158203125,2024-04-29 03:59:59.999,262689936.0,182199,1854.000732421875,116466008.0
2024-04-29 04:00:00,62279.6796875,62639.3984375,61923.12890625,62399.98046875,4977.90576171875,2024-04-29 07:59:59.999,309973568.0,202265,2468.831787109375,153756816.0
2024-04-29 08:00:00,62399.98046875,62673.1796875,62179.98828125,62256.0,3033.909423828125,2024-04-29 11:59:59.999,189310032.0,147329,1633.8955078125,101959584.0
2024-04-29 12:00:00,62256.0,63112.2890625,61765.53125,63039.0703125,8212.515625,2024-04-29 15:59:59.999,513040896.0,271883,4257.09130859375,266006288.0
2024-04-29 16:00:00,63039.0703125,63221.73828125,62546.37109375,62987.37109375,3504.0771484375,2024-04-29 19:59:59.999,220390512.0,164337,1575.0035400390625,99062832.0
2024-04-29 20:00:00,62987.37109375,64228.3515625,62820.0,63866.0,4239.4501953125,2024-04-29 23:59:59.999,269633408.0,184283,2197.771484375,139801776.0
2024-04-30 00:00:00,63866.0,64734.0,62995.69921875,63647.98828125,6641.9912109375,2024-04-30 03:59:59.999,424200704.0,249197,3400.546630859375,217188464.0
2024-04-30 04:00:00,63647.98828125,63708.69921875,63069.6796875,63148.73828125,3035.080078125,2024-04-30 07:59:59.999,192274320.0,151484,1479.4637451171875,93718888.0
2024-04-30 08:00:00,63148.73828125,63244.0,61000.0,61204.421875,14068.1337890625,2024-04-30 11:59:59.999,869392448.0,438127,7022.84521484375,433625568.0
2024-04-30 12:00:00,61204.41015625,61559.359375,60546.21875,60796.8515625,10504.865234375,2024-04-30 15:59:59.999,641069824.0,420073,5021.1455078125,306467680.0
2024-04-30 16:00:00,60796.859375,60947.55078125,59191.6015625,59292.94921875,13263.1318359375,2024-04-30 19:59:59.999,797677568.0,451450,5657.70947265625,340421440.0
2024-04-30 20:00:00,59292.94921875,61070.7109375,59274.75,60672.0,7434.45361328125,2024-04-30 23:59:59.999,447527552.0,275340,3803.705322265625,228999840.0
2024-05-01 00:00:00,60672.01171875,60841.62890625,59590.0,60246.03125,6530.47705078125,2024-05-01 03:59:59.999,392495616.0,235150,2819.393798828125,169455808.0
2024-05-01 04:00:00,60246.01953125,60361.08984375,57100.0,57499.98828125,15737.6201171875,2024-05-01 07:59:59.999,919709760.0,468661,6771.9013671875,395613216.0
2024-05-01 08:00:00,57500.0,57909.0,56552.8203125,57898.46875,18606.560546875,2024-05-01 11:59:59.999,1064351872.0,490460,9206.2060546875,526788128.0
2024-05-01 12:00:00,57898.4609375,58275.87109375,56674.51171875,56886.0,11686.748046875,2024-05-01 15:59:59.999,671963008.0,375378,5651.8134765625,325030688.0
2024-05-01 16:00:00,56886.0,59468.0,56625.08984375,56954.46875,20507.82421875,2024-05-01 19:59:59.999,1188754304.0,567815,9925.25390625,575276416.0
2024-05-01 20:00:00,56954.4609375,58575.3203125,56760.01953125,58364.96875,8097.236328125,2024-05-01 23:59:59.999,468297856.0,263625,3829.00537109375,221240032.0
2024-05-02 00:00:00,58364.96875,58610.55078125,56911.83984375,57442.87890625,11212.0166015625,2024-05-02 03:59:59.999,645854080.0,296516,5473.3125,314743424.0
2024-05-02 04:00:00,57442.87890625,57945.19140625,57202.48828125,57681.078125,4030.559326171875,2024-05-02 07:59:59.999,231994224.0,164737,2199.64208984375,126597008.0
2024-05-02 08:00:00,57681.078125,58689.55078125,57561.140625,58559.66015625,7270.28173828125,2024-05-02 11:59:59.999,421992544.0,245349,3829.953857421875,222332800.0
2024-05-02 12:00:00,58559.66015625,59455.0,58222.0,59264.1484375,15027.9501953125,2024-05-02 15:59:59.999,884969856.0,406655,7328.13671875,431574944.0
2024-05-02 16:00:00,59264.16015625,59575.2890625,58943.37890625,59351.109375,5176.24267578125,2024-05-02 19:59:59.999,306190688.0,242979,2345.186279296875,138758640.0
2024-05-02 20:00:00,59351.1015625,59625.0,58637.62109375,59060.609375,4866.76904296875,2024-05-02 23:59:59.999,287838944.0,216662,2064.5224609375,122141968.0
2024-05-03 00:00:00,59060.6015625,59999.0,58811.3203125,59720.30078125,5109.4091796875,2024-05-03 03:59:59.999,303987776.0,210043,2663.146728515625,158484048.0
2024-05-03 04:00:00,59720.30078125,59844.94140625,59061.62890625,59190.73828125,3909.03369140625,2024-05-03 07:59:59.999,232389088.0,160716,1751.1998291015625,104085848.0
2024-05-03 08:00:00,59190.73828125,59575.48046875,58849.94140625,59291.08984375,3640.852783203125,2024-05-03 11:59:59.999,215502160.0,167039,1825.1026611328125,108040704.0
2024-05-03 12:00:00,59291.1015625,62115.640625,58991.98828125,61690.73828125,19191.724609375,2024-05-03 15:59:59.999,1171461632.0,543615,9765.7939453125,595921920.0
2024-05-03 16:00:00,61690.73828125,62179.98828125,61533.19921875,62067.3203125,4594.31494140625,2024-05-03 19:59:59.999,284018816.0,194470,2356.77685546875,145708016.0
2024-05-03 20:00:00,62067.3203125,63333.0,61974.0,62882.01171875,7183.06591796875,2024-05-03 23:59:59.999,450834304.0,282778,3783.423095703125,237446928.0
2024-05-04 00:00:00,62882.01171875,63595.140625,62541.03125,62724.0,4743.46484375,2024-05-04 03:59:59.999,298490112.0,200884,2523.970458984375,158844352.0
2024-05-04 04:00:00,62724.0,63450.0,62686.0,62959.03125,3268.588134765625,2024-05-04 07:59:59.999,206045888.0,168046,1680.8770751953125,105945696.0
2024-05-04 08:00:00,62959.03125,64540.0,62924.37109375,63873.30859375,6546.7451171875,2024-05-04 11:59:59.999,417940448.0,259838,3601.15283203125,229977584.0
2024-05-04 12:00:00,63873.30078125,64158.19140625,63434.53125,63609.171875,3811.93359375,2024-05-04 15:59:59.999,242988192.0,179344,1816.421142578125,115792608.0
2024-05-04 16:00:00,63609.171875,64019.828125,63300.578125,63921.1796875,3617.97265625,2024-05-04 19:59:59.999,230057104.0,167370,1863.1495361328125,118504712.0
2024-05-04 20:00:00,63921.171875,64240.76171875,63550.0,63892.0390625,2379.988037109375,2024-05-04 23:59:59.999,151946944.0,138027,1185.6348876953125,75703808.0
2024-05-05 00:00:00,63892.03125,64188.0,62822.171875,63235.9296875,4023.811279296875,2024-05-05 03:59:59.999,255065584.0,185448,1815.0546875,115095392.0
2024-05-05 04:00:00,63235.9296875,63959.0,63119.3203125,63736.87109375,1984.9566650390625,2024-05-05 07:59:59.999,126037000.0,122400,1060.0565185546875,67322152.0
2024-05-05 08:00:00,63736.859375,63937.171875,63539.53125,63859.62890625,2431.335693359375,2024-05-05 11:59:59.999,154971296.0,170663,1063.7510986328125,67810952.0
2024-05-05 12:00:00,63859.62890625,64646.0,63618.91015625,64428.6484375,5405.837890625,2024-05-05 15:59:59.999,346645376.0,243150,2939.53515625,188535856.0
2024-05-05 16:00:00,64428.640625,64554.6796875,63811.01171875,63879.94140625,2871.911865234375,2024-05-05 19:59:59.999,184336992.0,152837,1184.723388671875,76058560.0
2024-05-05 20:00:00,63879.94140625,64227.51171875,63582.078125,64012.0,1808.89697265625,2024-05-05 23:59:59.999,115515992.0,118423,891.8134155273438,56960524.0
2024-05-06 00:00:00,64012.0,64465.0,63708.578125,63866.58984375,3162.3037109375,2024-05-06 03:59:59.999,202717312.0,140555,1615.7371826171875,103586768.0
2024-05-06 04:00:00,63866.58984375,64588.0,63768.71875,64540.75,4129.2666015625,2024-05-06 07:59:59.999,265200432.0,173747,2226.9365234375,143008368.0
2024-05-06 08:00:00,64540.75,65500.0,63815.37890625,64203.55859375,9354.0087890625,2024-05-06 11:59:59.999,605868224.0,348084,4662.11865234375,302070208.0
2024-05-06 12:00:00,64203.55078125,64319.859375,62909.609375,63632.01171875,10782.3740234375,2024-05-06 15:59:59.999,685921856.0,379868,5155.64794921875,327990240.0
2024-05-06 16:00:00,63632.01171875,63747.58984375,62700.0,63220.0,5039.95947265625,2024-05-06 19:59:59.999,318590240.0,230292,2478.275146484375,156691984.0
2024-05-06 20:00:00,63220.0,63611.8515625,63051.94140625,63165.19140625,2207.0068359375,2024-05-06 23:59:59.999,139833136.0,120011,1040.8446044921875,65955924.0
2024-05-07 00:00:00,63165.1796875,63967.19140625,62832.6015625,63239.48828125,4005.85546875,2024-05-07 03:59:59.999,254241280.0,187081,1858.939453125,117996520.0
2024-05-07 04:00:00,63239.5,63853.12109375,63092.76171875,63669.69140625,2871.472900390625,2024-05-07 07:59:59.999,182382592.0,142812,1377.0567626953125,87456312.0
2024-05-07 08:00:00,63669.69140625,64422.41015625,63358.0,63490.4296875,5001.2578125,2024-05-07 11:59:59.999,320116064.0,223410,2435.495849609375,155878240.0
2024-05-07 12:00:00,63490.4296875,64320.0,63050.76953125,63740.48046875,5420.86572265625,2024-05-07 15:59:59.999,345164320.0,278985,2793.77587890625,177935072.0
2024-05-07 16:00:00,63740.48046875,63895.4609375,62789.890625,63060.01171875,3582.302001953125,2024-05-07 19:59:59.999,226690368.0,224133,1702.8463134765625,107773280.0
2024-05-07 20:00:00,63060.0,63197.578125,62261.0,62312.078125,4717.041015625,2024-05-07 23:59:59.999,295937024.0,216477,2334.2685546875,146536576.0
2024-05-08 00:00:00,62312.0703125,62973.1796875,62111.0,62893.98828125,3337.822998046875,2024-05-08 03:59:59.999,208972352.0,162023,1808.0498046875,113219736.0
2024-05-08 04:00:00,62894.0,63020.21875,62020.08984375,62208.0,3859.8984375,2024-05-08 07:59:59.999,241132704.0,173133,1698.7506103515625,106146600.0
2024-05-08 08:00:00,62208.0,62519.69921875,62042.0,62243.3984375,3513.457275390625,2024-05-08 11:59:59.999,218820640.0,178894,1781.9451904296875,110979464.0
2024-05-08 12:00:00,62243.3984375,62828.0,61761.0,62273.078125,6158.2470703125,2024-05-08 15:59:59.999,383305568.0,328285,3086.783203125,192140944.0
2024-05-08 16:00:00,62273.0703125,62760.0,61949.421875,62179.44921875,3301.140380859375,2024-05-08 19:59:59.999,205907792.0,259671,1605.6964111328125,100158344.0
2024-05-08 20:00:00,62179.44921875,62248.83984375,60888.0,61193.03125,5950.6240234375,2024-05-08 23:59:59.999,365422016.0,313146,2688.3564453125,165104320.0
2024-05-09 00:00:00,61193.03125,61806.98046875,61144.328125,61680.3984375,2721.6171875,2024-05-09 03:59:59.999,167415056.0,160744,1324.4384765625,81477200.0
2024-05-09 04:00:00,61680.3984375,61780.6015625,61129.0,61253.16015625,2905.352294921875,2024-05-09 07:59:59.999,178782528.0,180362,1363.4486083984375,83904752.0
2024-05-09 08:00:00,61253.16015625,61447.05859375,60630.0,61053.98828125,5362.37109375,2024-05-09 11:59:59.999,327551392.0,241571,2450.085693359375,149672784.0
2024-05-09 12:00:00,61053.98828125,62285.0,60882.19140625,62159.05859375,8288.3349609375,2024-05-09 15:59:59.999,510588576.0,315752,4223.232421875,260218224.0
2024-05-09 16:00:00,62159.05859375,62668.671875,61750.0,62454.921875,6281.25146484375,2024-05-09 19:59:59.999,391149408.0,258901,3002.6328125,186993088.0
2024-05-09 20:00:00,62454.921875,63429.03125,62346.359375,63074.01171875,5101.87939453125,2024-05-09 23:59:59.999,320362976.0,224627,2756.177001953125,173075712.0
